Building#,Altitude,BuildingHeight,BuildingWidth,NestHeight,SquareArea,AveNoise,temp,prec,win,nd,npp,pop,lon,lat,NestCount,NestD1,AvilNest,AvaNR2,gdpp,NestHeightR,DensityR,AvaNR,light,urban,ID
Dongyanwu Community,1,18,45,13.5,675,56,17.03,87.17,4.1,3138,-1.51E-10,23324.69531,119.62,39.95,17,0,32,1.066666667,5.374131422,7.59375,0.377777778,0.711111111,63,0.909673869609833,12040
Dongyuan East Area,671,21,25,12,875,47,17.77,59,2.57,3797,1.14065555611997e-10,1453.120972,113.61,37.84,8,1,24,1.68,5.629102658,3.62475,0.32,0.96,59,0.846988081932068,11438
Erdian Community,776,39,20,15.75,2500,51,17.17,53.83,2.47,2432,1.85207613134786e-10,8054.880859,112.54,37.85,5,1,15,2.4375,7.830320956,6.07485,0.25,0.75,63,0.916224598884583,11338
Fangzhi Jinchukou Dormitory,780,21,20,10.5,2400,62,17.1,55.5,2.53,2770,1.85207613134786e-10,27557.0332,112.53,37.86,2,0,6,1.05,7.830320956,4.5,0.1,0.3,63,0.905460000038147,11338
Fangzhi Road No.155 Building 2,1702,21,40,6,1500,34,15.05,30.5,2.45,2081,4.62192173422693e-10,1038.309937,104.16,36.54,1,0,5,0.875,3.216234269,1.2,0.025,0.125,62,0.741227328777313,10437
Fangzhi Road No.155 Building 1,1686,24,20,12,2400,50,15.05,30.5,2.45,2081,4.62192173422693e-10,1038.309937,104.16,36.54,1,1,2,0.8,3.216234269,6,0.05,0.1,62,0.741227328777313,10437
Feitian Family Quarters Building 2,1525.49,18,50,7,1600,49,16.2,43,1.77,2289,4.39406039332013e-10,16393,103.86,36.04,4,1,9,0.54,6.621804697,3.2,0.08,0.18,62,0.935740649700165,10436
Fenghuang City 10,3,45,70,12.5,3150,54,20.02,69.33,2.72,3341,4.09284578450908e-10,1779.406494,116.81,38.29,7,0,22,1.885714286,5.067812589,4.107166667,0.1,0.314285714,62,0.875452041625977,11738
Fenghuang City 2,3,45,40,10,2000,51,20.03,69.67,2.72,3341,4.09284578450908e-10,1779.406494,116.82,38.29,5,1,18,2.7,5.067812589,2.9165,0.125,0.45,62,0.922778725624084,11738
Fenghuang City 9,3,45,70,8.75,4000,56,20.02,69.33,2.72,3341,4.09284578450908e-10,1779.406494,116.81,38.29,6,0,16,2.057142857,5.067812589,3.59375,0.085714286,0.228571429,62,0.875452041625977,11738
Furong Garden Building 1,1068,18,50,9,2100,42,16.35,25.67,2.65,3985,7.56520887601475e-11,2247.632813,106.27,38.45,1,1,5,0.6,6.870651127,1.8,0.02,0.1,63,0.754781007766724,10638
Fumen Xiangxielishe,1104,30,21,6.25,1280,46.7,17.37,71.5,1.68,3883,1.43558154253043e-09,1175.71582,105.76,34.58,3,1,8,2.285714286,2.23442611,2.1875,0.142857143,0.380952381,59,0.858422935009003,10635
Fuxingyuan Building 34,1178.56,18,50,3,1500,57,15.93,24.5,2.67,4876,2.8036817312227e-10,2865.691406,105.22,37.5,1,1,5,0.6,4.125411304,0.6,0.02,0.1,59,0.813464641571045,10538
Fuxingyuan Building 40,1179.31,18,60,11.5,5525,53,15.93,24.5,2.67,4876,2.8036817312227e-10,2865.691406,105.22,37.5,2,0,8,0.4,4.125411304,2.875,0.033333333,0.133333333,59,0.813464641571045,10538
Fuxingyuan Building 46,1183.08,18,60,8.5,5525,54,15.93,24.5,2.67,4876,2.8036817312227e-10,2865.691406,105.22,37.5,4,0,10,0.5,4.125411304,2.3,0.066666667,0.166666667,59,0.813464641571045,10538
Fuxingyuan Building 49,1174.75,31,45,6,5525,56,15.93,24.5,2.67,4876,2.8036817312227e-10,2865.691406,105.22,37.5,1,1,4,0.977777778,4.125411304,1.5,0.022222222,0.088888889,59,0.813464641571045,10538
Fuxingyuan Building 59,1167.57,31,60,4.25,5525,57,16.1,24.83,2.48,5576,2.53585569209847e-10,2525.634277,105.22,37.51,3,1,15,1.375,4.125411304,0.90185,0.05,0.25,59,0.828965306282043,10538
Fufeng Jiayuan,1,18,40,16.5,1200,62,17.02,86.33,4.08,3138,-1.51E-10,10029.83887,119.63,39.95,4,0,14,1.05,5.374131422,4.5006,0.1,0.35,62,0.883132040500641,12040
Fuli City No.1,670,54,40,18,3200,57,17.77,59,2.57,3797,1.14065555611997e-10,1453.120972,113.61,37.84,12,0,45,2.25,5.629102658,4.066666667,0.3,1.125,59,0.846988081932068,11438
Fuli City No.2,670,66,40,10,3200,57,17.77,59,2.57,3797,1.14065555611997e-10,1453.120972,113.61,37.84,2,0,4,2.2,5.629102658,5,0.05,0.1,59,0.846988081932068,11438
Fuli Jianianhua,687,78,40,14,4000,54,17.7,59.67,2.47,4420,1.14065555611997e-10,244.5931702,113.59,37.84,19,0,75,8.125,5.629102658,3.1584,0.475,1.875,60,0.863310754299164,11438
Fuqiang Community,867,18,43,12,903,63,14.23,59,2.85,5260,-1.14E-10,430.1929626,117.75,41.94,2,1,5,0.348837209,3.650224215,4.4997,0.046511628,0.11627907,47,0.590126633644104,11842
Fuyan Hotel,1917,12,25,6,1800,56,12.22,51.33,2.12,3589,6.86232182189883e-10,6600.537598,104.62,35.58,1,0.5,4,0.48,1.748585732,1.5,0.04,0.16,60,0.815599143505096,10536
GreenTree Inn Hotel,944,18,60,10.5,3000,60,16.63,59.33,2.45,4171,4.80922697498887e-11,4088.232422,111.14,37.54,7,0,24,0.6,4.525735553,3.1515,0.116666667,0.4,60,0.720681369304657,11138
Gengjiazhuang Residential Area Building 10,1471,21,30,9,800,44,16.3,42.83,1.8,2745,4.39406039332013e-10,7362.664551,103.84,36.05,1,1,4,0.933333333,6.621804697,2.25,0.033333333,0.133333333,62,0.938998997211456,10436
Gengjiazhuang Residential Area Building 11,1502,18,20,12,600,45,16.3,42.83,1.8,2745,4.39406039332013e-10,7362.664551,103.84,36.05,1,0.5,1,0.3,6.621804697,12,0.05,0.05,62,0.938998997211456,10436
